Name,Source,LinkedIn Profile,Status,LI Connection Sent,LI Connection Accepted,Loom Sent,Responded,Call Booked,Audit Call,Free or Paid,Need to Follow Up Date,Last Contact Date,Email,Company,Title,Notes,Meetings,"Action Items ",Projects
Harry Gray,LI Loom Outreach,https://www.linkedin.com/in/harrygray3,Loom Sent,Yes,Yes,Yes,No,No,No,,,,,,,,,,
,,,Loom Sent,No,No,No,No,No,No,,,,,,,,,,
Ted Smith,LI Loom Outreach,https://www.linkedin.com/in/tedsmith,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Ted Jones,LI Loom Outreach,https://www.linkedin.com/in/tedjones,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Ted Davis,LI Loom Outreach,https://www.linkedin.com/in/teddavis,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Ted Anderson,LI Loom Outreach,https://www.linkedin.com/in/tedanderson,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Wright,LI Loom Outreach,https://www.linkedin.com/in/taylorwright,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor White,LI Loom Outreach,https://www.linkedin.com/in/taylorwhite,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Wilson,LI Loom Outreach,https://www.linkedin.com/in/taylorwilson,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Turner,LI Loom Outreach,https://www.linkedin.com/in/taylorturner,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Smith,LI Loom Outreach,https://www.linkedin.com/in/taylorsmith,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Thomas,LI Loom Outreach,https://www.linkedin.com/in/taylorthomas,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Roberts,LI Loom Outreach,https://www.linkedin.com/in/taylorroberts,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Rodriguez,LI Loom Outreach,https://www.linkedin.com/in/taylorrodriguez,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Moore,LI Loom Outreach,https://www.linkedin.com/in/taylormoore,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Martinez,LI Loom Outreach,https://www.linkedin.com/in/taylormartinez,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Parker,LI Loom Outreach,https://www.linkedin.com/in/taylorparker,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor King,LI Loom Outreach,https://www.linkedin.com/in/taylorking,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Lewis,LI Loom Outreach,https://www.linkedin.com/in/taylorlewis,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Johnson,LI Loom Outreach,https://www.linkedin.com/in/taylorjohnson,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Hill,LI Loom Outreach,https://www.linkedin.com/in/taylorhill,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Green,LI Loom Outreach,https://www.linkedin.com/in/taylorgreen,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Evans,LI Loom Outreach,https://www.linkedin.com/in/taylorevans,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
Taylor Clark,LI Loom Outreach,https://www.linkedin.com/in/taylorclark,Connection Accepted,Yes,Yes,No,No,No,No,,,,,,,,,,
